,name,birth,death,link,location,description
81,Yitzchok Friedman,1850,1917,https://en.wikipedia.org/wiki/Yitzchok_Friedman,,First rebbe of boyan
82,Shlomo Ganzfried (Kitzur Shulchan Aruch),1804,1886,https://en.wikipedia.org/wiki/Shlomo_Ganzfried,,Posek
83,Chaim Yosef Gottlieb of Stropkov (Stropkover Rov),1794,1867,https://en.wikipedia.org/wiki/Chaim_Yosef_Gottlieb_of_Stropkov,,"Chief rabbi and head of the bet din of stropkov, galicia"
84,Moshe Greenwald,1853,1910,https://en.wikipedia.org/wiki/Moshe_Greenwald,,"Rabbi of chust, hungary and founder of the puppa hasidic dynasty"
85,Lazar Grünhut,1850,1913,https://en.wikipedia.org/wiki/Lazar_Gr%C3%BCnhut,,"Hungarian writer, educator and zionist political activist, representative of the mizrachi movement in the zionist congress"
86,Shlomo HaKohen,1828,1905,https://en.wikipedia.org/wiki/Shlomo_HaKohen_(Vilna),,"Famed av beis din and posek of vilna, editor of the vilna edition shas, supporter of the mizrachi religious zionism movement"
87,Solomon Herschell,1762,1842,https://en.wikipedia.org/wiki/Solomon_Herschell,,British chief rabbi
88,Azriel Hildesheimer,1820,1899,https://en.wikipedia.org/wiki/Azriel_Hildesheimer,,"Philosopher, a founder of modern orthodox judaism"
89,Abraham Hillel,1820,1920,https://en.wikipedia.org/wiki/Abraham_Hillel,,Chief rabbi of baghdad
90,Samson Raphael Hirsch,1808,1888,https://en.wikipedia.org/wiki/Samson_Raphael_Hirsch,,German founder of the torah im derech eretz movement
91,David Zvi Hoffmann,1843,1921,https://en.wikipedia.org/wiki/David_Zvi_Hoffmann,,"Torah scholar who headed the yeshiva in berlin, published research on the chumash and mishnah, expert in midrash halakha and a halakhic authority"
92,Márkus Horovitz,1844,1910,https://en.wikipedia.org/wiki/M%C3%A1rkus_Horovitz,,"Hungarian historian and writer, rabbi of lauenburg, gnesen and frankfurt am main"
93,Yitzchak Ickovits,1780,1849,https://en.wikipedia.org/wiki/Yitzhak_of_Volozhin,,"Rosh yeshiva of the volozhin yeshiva, son of chaim of volozhin"
94,Jacob Josep,1840,1902,https://en.wikipedia.org/wiki/Jacob_Joseph,,"Rabbi of vilon, yurburg, zhagory and kovno, chief rabbi of new york city's association of american orthodox hebrew congregations, helped found the etz chaim yeshiva on the lower east side"
95,Zvi Hirsch Kalischer,1795,1874,https://en.wikipedia.org/wiki/Zvi_Hirsch_Kalischer,,"German author who expressed views, from a religious perspective, in favor of the jewish re-settlement of the land of israel, which predate theodor herzl and the zionist movement"
96,Nachum Kaplan,1811,1879,https://en.wikipedia.org/wiki/Nachum_Kaplan,,"Lithuanian talmudist, philanthropist and talmid chacham"
97,Israel Lipschitz (Tiferes Yisrael),1782,1860,https://en.wikipedia.org/wiki/Israel_Lipschitz,,Leading ashkenazi first in dessau and then in the jewish community of danzig
98,Jacob of Lissa,1760,1832,https://en.wikipedia.org/wiki/Jacob_of_Lissa,,Galician halakhist
99,Samuel David Luzzatto (Shadal),1800,1865,https://en.wikipedia.org/wiki/Samuel_David_Luzzatto,,"Italian scholar, poet, and a member of the wissenschaft des judentums movement"
100,Chaim Hezekiah Medini (Sdei Chemed),1834,1904,https://en.wikipedia.org/wiki/Chaim_Hezekiah_Medini,,"Chief rabbi of hebron, posek and talmudic scholar, composer of piyutim"
101,Raphael Meldola,1754,1828,https://en.wikipedia.org/wiki/Raphael_Meldola_(Sephardic_Rabbi),,Haham of the spanish and portuguese jews in london
102,Frederick de Sola Mendes,1850,1927,https://en.wikipedia.org/wiki/Frederick_de_Sola_Mendes,,Sephardic rabbi in london and america
103,Meir Lob ben Yechiel Michael (The Malbim),1809,1879,https://en.wikipedia.org/wiki/Malbim,,"Russian-born hebrew grammarian, known for his novel commentary on much of tanach"
104,Samuel Mohilever,1824,1898,https://en.wikipedia.org/wiki/Samuel_Mohilever,,Pioneer of religious zionism and one of the founders of the hovevei zion movement
105,Nachman of Breslov (Rebbe Nachman),1772,1810,https://en.wikipedia.org/wiki/Nachman_of_Breslov,,"Ukrainian hasidic and mystic, founder of breslov chassidus"
106,Nathan of Breslov,1780,1844,https://en.wikipedia.org/wiki/Nathan_of_Breslov,,"Known as reb noson, was the chief disciple and scribe of nachman of breslov"
107,Avrohom Chaim Oppenheim,1796,1824,https://en.wikipedia.org/wiki/Avrohom_Chaim_Oppenheim,,"Rabbi at pécs, hungary."
108,Eliezer Papo (Pele Yoetz),1785,1828,https://en.wikipedia.org/wiki/Eliezer_Papo,,"Rabbi of the community of selestria, bulgaria"
109,Yechiel Michel Pines,1824,1913,https://en.wikipedia.org/wiki/Yechiel_Michel_Pines,,"Russian-born religious zionist writer, and community leader in the old yishuv"
